[I 2025-04-19 01:52:57,020] Trial 53 finished with value: 12.47546718942768 and parameters: {'max_bin': 1479, 'max_depth': 15, 'learning_rate': 0.008903909518373545, 'subsample': 0.7314866050893134, 'colsample_bytree': 0.8877665387668173, 'gamma': 0.25331677120656965, 'min_child_weight': 4, 'reg_alpha': 0.19460281196026033, 'reg_lambda': 0.6502173771494619}. Best is trial 53 with value: 12.47546718942768.
[I 2025-04-19 02:00:47,118] Trial 54 finished with value: 12.47203259983923 and parameters: {'max_bin': 1540, 'max_depth': 15, 'learning_rate': 0.008822733008398087, 'subsample': 0.7143126877018637, 'colsample_bytree': 0.8885125011403708, 'gamma': 0.29478853924225645, 'min_child_weight': 3, 'reg_alpha': 0.22052010000254701, 'reg_lambda': 0.6549421037558152}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 02:08:38,004] Trial 55 finished with value: 12.472921979907685 and parameters: {'max_bin': 1564, 'max_depth': 15, 'learning_rate': 0.009037851811987109, 'subsample': 0.7154590640987192, 'colsample_bytree': 0.8896203706560593, 'gamma': 0.2960510311882819, 'min_child_weight': 3, 'reg_alpha': 0.23589030461833732, 'reg_lambda': 0.6531014917328279}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 02:16:32,219] Trial 56 finished with value: 12.476639634728901 and parameters: {'max_bin': 1521, 'max_depth': 15, 'learning_rate': 0.007570588953560741, 'subsample': 0.7173419843868647, 'colsample_bytree': 0.8912110327826815, 'gamma': 0.2589839501922412, 'min_child_weight': 3, 'reg_alpha': 0.23790445628703683, 'reg_lambda': 0.5695651329052254}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 02:24:56,700] Trial 57 finished with value: 12.479317691386653 and parameters: {'max_bin': 1564, 'max_depth': 15, 'learning_rate': 0.006695119498958675, 'subsample': 0.7172509403717315, 'colsample_bytree': 0.8969623378019022, 'gamma': 0.25718922296700353, 'min_child_weight': 3, 'reg_alpha': 0.31561174705423267, 'reg_lambda': 0.6305293790585045}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 02:33:08,880] Trial 58 finished with value: 12.477594576044499 and parameters: {'max_bin': 1578, 'max_depth': 15, 'learning_rate': 0.007553877241156003, 'subsample': 0.7181667743134488, 'colsample_bytree': 0.8913792244147499, 'gamma': 0.2596284104591838, 'min_child_weight': 3, 'reg_alpha': 0.24469511557512685, 'reg_lambda': 0.36499911717516276}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 02:41:35,671] Trial 59 finished with value: 12.475923387009477 and parameters: {'max_bin': 1574, 'max_depth': 15, 'learning_rate': 0.006732320523689887, 'subsample': 0.7197347630816145, 'colsample_bytree': 0.8917226929352832, 'gamma': 0.3700248657383127, 'min_child_weight': 3, 'reg_alpha': 0.49978962652938685, 'reg_lambda': 0.38572703926085405}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 02:43:20,077] Trial 60 finished with value: 12.71447690513296 and parameters: {'max_bin': 1592, 'max_depth': 10, 'learning_rate': 0.007570891158204596, 'subsample': 0.701500741191287, 'colsample_bytree': 0.8677064551602233, 'gamma': 0.3799068034425982, 'min_child_weight': 3, 'reg_alpha': 0.5359278202752155, 'reg_lambda': 0.3338882049001688}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 02:51:49,114] Trial 61 finished with value: 12.479801785108004 and parameters: {'max_bin': 1569, 'max_depth': 15, 'learning_rate': 0.006585156115754618, 'subsample': 0.72326884437707, 'colsample_bytree': 0.9297718468358657, 'gamma': 0.3265714421729914, 'min_child_weight': 3, 'reg_alpha': 0.25668417196487875, 'reg_lambda': 0.5931458868755365}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 02:59:57,162] Trial 62 finished with value: 12.476985392310016 and parameters: {'max_bin': 1491, 'max_depth': 15, 'learning_rate': 0.0071759993485044325, 'subsample': 0.7188767156354352, 'colsample_bytree': 0.8921047608396412, 'gamma': 0.2463308725933803, 'min_child_weight': 3, 'reg_alpha': 0.4074134486663648, 'reg_lambda': 0.6459753159705379}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 03:07:52,151] Trial 63 finished with value: 12.476347491580574 and parameters: {'max_bin': 1451, 'max_depth': 15, 'learning_rate': 0.008030322688220575, 'subsample': 0.7298159402723328, 'colsample_bytree': 0.8927045422860989, 'gamma': 0.35185971836734736, 'min_child_weight': 3, 'reg_alpha': 0.4027778188427282, 'reg_lambda': 0.37852909732368284}. Best is trial 54 with value: 12.47203259983923.
[I 2025-04-19 03:08:43,264] Trial 64 finished with value: 12.889057034685559 and parameters: {'max_bin': 1446, 'max_depth': 7, 'learning_rate': 0.0071396444745580444, 'subsample': 0.7318245487284522, 'colsample_bytree': 0.8700635812080009, 'gamma': 0.40581004995368397, 'min_child_weight': 3, 'reg_alpha': 0.4169203374806544, 'reg_lambda': 0.3902726821441499}. Best is trial 54 with value: 12.47203259983923.
